Enzymes	Enzyme Name	 equation	Compensated Species	delta G (pH 7.2)	delGlb	delGub	Keq	kcat+(1/s)	kcat-(1/s)	Etot Conc	Vmax	"vss (Gur = -10, O2ur = -1000)"	EC	Substrate Km (mM)	Activators	Inhibitors	Regulator Km (mM)	Metab	Mclow (mM)	Mchigh (mM)
ACt2r		ac[e] + h[e] <==> ac[c] + h[c]	"h[c],h[e]"	0				1	1			-19.22		"1e-5,1,1e-3,1"						
ACex		ac[e] <==>		0				1	1											
ACKr		[c] : ac <==> actp		4.3	-24.3	52.1		280					2.7.2.1							
PTAr		[c] : accoa <==> actp + coa	pi	3.8	-20.4	28.7		120					2.3.1.8							
CS		[c] : cit + coa + h <==> accoa + oaa + h2o		8.6	-4	60.9			81			6.01	2.3.3.1					r5p[c]	0.398	0.398
ACONTa		[c] : cit <==> icit		1.5	-11.2	26.5		5.3				-6.01	4.2.1.3					e4p[c]	0.098	0.098
ICL		[c] : icit --> glx + succ		4.9	-38.7	17.8		5.2				0.00	4.1.3.1					adp[c]	0.595	0.595
MALS		[c] : coa + mal + h <==> accoa + glx + h2o	"h,h2o"	8.7	-9.1	63.1			48.1			0.00	2.3.3.9					atp[c]	4.27	4.27
ME1		[c] : mal --> pyr		1.3				1	0											
PPS		[c] : pyr + h2o --> pep + 2 h		-1.2				1	0											
PPCK		[c] : oaa --> pep		0.2				1	0											
ICDHyr		[c] : icit <==> akg	co2	3.4	-48.4	26.9		106.4				-6.01	1.1.1.42					amp[c]	0.955	0.955
AKGDH		[c] : akg + coa --> succoa	co2	-8.3	-72.3	20.3		49				3.57	1.8.1.4					nadp[c]	0.195	0.195
SUCOAS		[c] : succ <==> succoa	pi	-1	-39.5	35.8	2.12	25.6				-3.57	6.2.1.5					nadph[c]	0.062	0.062
SUCDi		[c] : succ --> fum		-2.1	-40.4	16.1		167				3.57	1.3.99.1					nad[c]	1.47	1.47
FUM		[c] : mal <==> fum + h2o		0.6	-15.4	22.3		51.7				-3.57	4.2.1.2					6pgl[c]	0.808	0.808
MDH		[c] : mal <==> oaa + h	h	6.4	-7.3	68.6		931			50	3.57	1.1.1.37							
SUCCt2_2		succ[e] + 2 h[e] --> succ[c] + 2 h[c]	"h[c],h[e]"	0				1	0			0.00		"1,1e1,1,1e-5"						
AKGt2r		akg[e] + h[e] <==> akg[c] + h[c]	"h[c],h[e]"	0				1	1			0.00		"1e1,1,1e-5,1"						
FUMt2_2		fum[e] + 2 h[e] --> fum[c] + 2 h[c]	"h[c],h[e]"	0				1	0			0.00		"1e1,1,1e-5,1"						
MALt2_2		mal[e] + 2 h[e] --> mal[c] + 2 h[c]	"h[c],h[e]"	0				1	0			0.00		"1,1e1,1,1e-5"						
exSUCC		succ[e] <==>		0								0.00								
exAKG		akg[e] <==>		0								0.00								
exFUM		fum[e] <==>		0								0.00								
exMAL		mal[e] <==>		0								0.00								
ENO		[c] : 2pg <==> pep + h2o		-0.9	-22.9	14.7		355.79					4.2.1.11					pyr[c]	2.67	2.67
PGM		[c] : 2pg <==> 3pg		6.229	-23.1	14.6			530				5.4.2.1					pep[c]	2.67	2.67
PGK		[c] : 3pg <==> 13dpg		-10.51	-19.2	56.1			654				2.7.2.3					2pg[c]	0.399	0.399
GAPD		[c] : g3p <==> 13dpg + h	"pi,h"	-0.1	-12.8	62.6		268					1.2.1.12					3pg[c]	2.13	2.13
TPI		[c] : g3p <==> dhap		7.598	-24.3	13.4			9000				5.3.1.1					dhap[c]	0.167	0.167
FBA		[c] : fdp <==> dhap + g3p		4.2	-29.4	27.1		8.5					4.1.2.13					gap[c]	0.218	0.218
FBP		[c] : fdp + h2o --> f6p	"h2o,pi"	-2.8	-48.8	-9.7		22				0.00	3.1.3.11		4 pep[c]		0.1	fdp[c]	0.272	0.272
PGI		[c] : g6p <==> f6p		3.132	-17.1	20.6		120				11.64	5.3.1.9	"0.28,0.147"				g6p[c]	3.48	3.48
biomass		[c] : 1.496 3pg + 3.7478 accoa + 0.3610 e4p + 0.0709 f6p + 0.1290 g3p + 0.2050 g6p + 59.8100 h2o + 1.7867 oaa + 0.5191 pep + 2.8328 pyr + 0.8977 r5p --> 4.1182 akg + 3.7478 coa + 59.8100 h		0				1	0											
PYRt2r		pyr[e] + h[e] <==> pyr[c] + h[c]	"h[c],h[e]"	0				2540	2540		1.00E-03	-8.51		"1,0.1,1,0.1"						
PYRex		pyr[e] <==>		0				1	1											
G6Pex		g6p[e] <==>		0					1											
exH		h[e] <==>		0								63.61								
Ht2r		h[e] <==> h[c]		0				1.00E+02	1.00E+02			8.55		"1,1"						
H2Ot		h2o[e] <==> h2o[c]		0				1	2			-13.30		"1e-3,1e-3"						
exH2O		h2o[e] <==>		0								13.30								
ME1		[c] : mal --> pyr		1.3				1	0											
G6PDH2r		[c] : g6p ---> 6pgl + h	h	-1.6	-42.6	35.3		174			0.63	18.14	1.1.1.49	"0.174,0.0075,1,1,1"						
PGL		[c] : 6pgl + h2o --> 6pgc + h	"h2o,h"	-5.1	-39.8	-2.1		25				18.14	3.1.1.31							
GND		[c] : 6pgc ---> ru5p-D	co2	0.9	-43.6	31.7		75.65				18.14	1.1.1.44							
RPE		[c] : ru5p-D <==> xu5p-D			-22.2	15.5	3.91	1180.01				10.43	5.1.3.1							
RPI		[c] : r5p <==> ru5p-D		0.5	-16.9	20.8		2100				-7.72	5.3.1.6							
TKT1		[c] : g3p + s7p <==> r5p + xu5p-D			-33.9	41.5	0.216		21.9			-5.63	2.2.1.1							
TALA		[c] : g3p + s7p <==> e4p + f6p		-1.7	-38.4	36.9		16.57				5.63	2.2.1.2							
TKT2		[c] : f6p + g3p <==> e4p + xu5p-D		1.7	-27.7	47.7	0.0177		20.438			-4.79	2.2.1.1							
