Enzymes	Enzyme Name	 equation	Compensated Species	delta G (pH 7.2)	delGlb	delGub	Keq	kcat+(1/s)	kcat-(1/s)	Etot Conc	Vmax	"vss (Gur = -10, O2ur = -1000)"	EC	Substrate Km (mM)	Activators	Inhibitors	Regulator Km (mM)	Metab	Mclow (mM)	Mchigh (mM)
ACt2r		ac[e] + h[e] <==> ac[c] + h[c]	"h[c],h[e]"	0				1	1			-19.22		"1e-2,1,1e-5,1"						
FBA		[c] : fdp <==> dhap + g3p		4.2	-29.4	27.1		8.5					4.1.2.13					gap[c]	0.218	0.218
FBP		[c] : fdp --> f6p	"h2o,pi"	-2.8	-48.8	-9.7		22				0.00	3.1.3.11		4 pep[c]		0.1	fdp[c]	0.272	0.272
ACex		ac[e] <==>		0				1	1											
G6Pt2r		g6p[c] ---> g6p[e]		0				1	0											
PYRt2r		h[e] + pyr[e] <==> h[c] + pyr[c]	"h[c],h[e]"	0				2540	2540		1.00E-03	-8.51		"1,0.1,1,0.1"						
PYRex		pyr[e] <==>		0				1	1											
G6Pex		g6p[e] <==>		0					1											
ACKr		[c] : ac <==> actp		4.3	-24.3	52.1		280					2.7.2.1							
PTAr		[c] : accoa <==> actp + coa	pi	3.8	-20.4	28.7		120	0.02				2.3.1.8							
PDHr		[c] : accoa --> pyr + coa 	co2	-8.3	-73	2.3		6.32	0				1.2.4.1					s7p[c]	0.276	0.276
PYK		[c] : pyr <==> pep + h	h[c]	-31.12	-10.8	65.3		2540					2.7.1.40	"0.33,5,0.07,0.03,1"				ru5p-D	0.111	0.111
ENO		[c] : 2pg <==> pep		-0.9	-22.9	14.7		355.79					4.2.1.11					pyr[c]	2.67	2.67
PGM		[c] : 2pg <==> 3pg		6.229	-23.1	14.6			530				5.4.2.1					pep[c]	2.67	2.67
PGK		[c] : 3pg <==> 13dpg		-10.51	-19.2	56.1			654				2.7.2.3					2pg[c]	0.399	0.399
GAPD		[c] : g3p <==> 13dpg + h	"pi,h"	-0.1	-12.8	62.6		268					1.2.1.12					3pg[c]	2.13	2.13
TPI		[c] : g3p <==> dhap		7.598	-24.3	13.4			9000				5.3.1.1					dhap[c]	0.167	0.167
PGI		[c] : g6p <==> f6p		3.132	-17.1	20.6		120				11.64	5.3.1.9	"0.28,0.147"				g6p[c]	3.48	3.48
exH		h[e] <==>		0								63.61								
Ht2r		h[e] <==> h[c]		0				1.00E+02	1.00E+02			8.55		"1,1"						
																				
